"nz_points_total","nz_points_mixed","nz_points_opens","nz_points_womens","nz_qualify","scenario"
226,74,75,77,0,"Stacked Opens/Womens"
239,73,87,79,1,"Stacked Opens/Womens"
225,68,76,81,0,"Stacked Opens/Womens"
233,71,81,81,0,"Stacked Opens/Womens"
245,69,95,81,1,"Stacked Opens/Womens"
236,76,81,79,0,"Stacked Opens/Womens"
231,71,79,81,0,"Stacked Opens/Womens"
238,67,87,84,1,"Stacked Opens/Womens"
224,72,75,77,0,"Stacked Opens/Womens"
229,68,74,87,0,"Stacked Opens/Womens"
233,73,81,79,0,"Stacked Opens/Womens"
229,73,75,81,0,"Stacked Opens/Womens"
242,68,87,87,1,"Stacked Opens/Womens"
225,69,79,77,0,"Stacked Opens/Womens"
232,72,79,81,0,"Stacked Opens/Womens"
228,68,84,76,0,"Stacked Opens/Womens"
225,67,81,77,0,"Stacked Opens/Womens"
229,75,75,79,0,"Stacked Opens/Womens"
236,68,87,81,0,"Stacked Opens/Womens"
230,73,76,81,0,"Stacked Opens/Womens"
249,71,87,91,1,"Stacked Opens/Womens"
234,71,84,79,0,"Stacked Opens/Womens"
232,72,79,81,0,"Stacked Opens/Womens"
232,69,84,79,0,"Stacked Opens/Womens"
240,66,95,79,0,"Stacked Opens/Womens"
232,69,87,76,0,"Stacked Opens/Womens"
233,72,84,77,0,"Stacked Opens/Womens"
236,73,87,76,0,"Stacked Opens/Womens"
233,75,77,81,0,"Stacked Opens/Womens"
224,70,75,79,0,"Stacked Opens/Womens"
230,70,76,84,0,"Stacked Opens/Womens"
238,72,87,79,1,"Stacked Opens/Womens"
240,72,87,81,1,"Stacked Opens/Womens"
240,69,87,84,0,"Stacked Opens/Womens"
234,72,81,81,0,"Stacked Opens/Womens"
224,68,77,79,0,"Stacked Opens/Womens"
237,67,91,79,1,"Stacked Opens/Womens"
223,67,75,81,0,"Stacked Opens/Womens"
224,71,79,74,0,"Stacked Opens/Womens"
233,68,81,84,0,"Stacked Opens/Womens"
231,68,79,84,0,"Stacked Opens/Womens"
252,70,95,87,1,"Stacked Opens/Womens"
226,68,79,79,0,"Stacked Opens/Womens"
231,73,79,79,0,"Stacked Opens/Womens"
237,71,87,79,0,"Stacked Opens/Womens"
229,75,77,77,0,"Stacked Opens/Womens"
242,70,91,81,1,"Stacked Opens/Womens"
234,68,87,79,0,"Stacked Opens/Womens"
236,71,84,81,0,"Stacked Opens/Womens"
238,68,79,91,1,"Stacked Opens/Womens"
222,68,75,79,0,"Stacked Opens/Womens"
233,75,77,81,0,"Stacked Opens/Womens"
247,71,81,95,1,"Stacked Opens/Womens"
224,71,72,81,0,"Stacked Opens/Womens"
236,73,84,79,0,"Stacked Opens/Womens"
241,71,91,79,1,"Stacked Opens/Womens"
228,66,81,81,0,"Stacked Opens/Womens"
226,73,76,77,0,"Stacked Opens/Womens"
252,73,95,84,1,"Stacked Opens/Womens"
232,74,79,79,0,"Stacked Opens/Womens"
228,70,81,77,0,"Stacked Opens/Womens"
231,71,81,79,0,"Stacked Opens/Womens"
226,70,79,77,0,"Stacked Opens/Womens"
233,73,79,81,0,"Stacked Opens/Womens"
234,73,84,77,0,"Stacked Opens/Womens"
233,71,81,81,0,"Stacked Opens/Womens"
247,73,95,79,1,"Stacked Opens/Womens"
234,68,87,79,0,"Stacked Opens/Womens"
245,66,95,84,1,"Stacked Opens/Womens"
235,69,87,79,0,"Stacked Opens/Womens"
232,75,76,81,0,"Stacked Opens/Womens"
242,71,87,84,0,"Stacked Opens/Womens"
246,71,91,84,1,"Stacked Opens/Womens"
226,68,77,81,0,"Stacked Opens/Womens"
236,68,84,84,0,"Stacked Opens/Womens"
229,69,81,79,0,"Stacked Opens/Womens"
223,68,76,79,0,"Stacked Opens/Womens"
228,68,84,76,0,"Stacked Opens/Womens"
237,74,76,87,0,"Stacked Opens/Womens"
234,73,84,77,0,"Stacked Opens/Womens"
231,72,75,84,0,"Stacked Opens/Womens"
222,69,76,77,0,"Stacked Opens/Womens"
