"nz_points_total","nz_points_mixed","nz_points_opens","nz_points_womens","nz_qualify","scenario"
236,81,74,81,0,"Base"
236,74,81,81,0,"Base"
219,68,74,77,0,"Base"
242,74,84,84,1,"Base"
239,75,77,87,0,"Base"
251,75,95,81,1,"Base"
222,71,75,76,0,"Base"
228,74,75,79,0,"Base"
242,71,95,76,1,"Base"
218,67,75,76,0,"Base"
234,74,81,79,0,"Base"
233,73,81,79,0,"Base"
229,76,76,77,0,"Base"
229,74,76,79,0,"Base"
225,72,79,74,0,"Base"
224,68,75,81,0,"Base"
237,79,79,79,0,"Base"
229,74,76,79,0,"Base"
230,73,76,81,0,"Base"
226,72,75,79,0,"Base"
229,68,87,74,0,"Base"
226,75,76,75,0,"Base"
227,75,75,77,0,"Base"
227,76,74,77,0,"Base"
229,72,81,76,0,"Base"
223,71,75,77,0,"Base"
233,76,76,81,0,"Base"
226,69,76,81,0,"Base"
235,75,81,79,0,"Base"
239,75,87,77,0,"Base"
249,75,95,79,1,"Base"
240,76,87,77,1,"Base"
233,75,74,84,0,"Base"
234,68,87,79,0,"Base"
239,74,84,81,0,"Base"
240,72,81,87,1,"Base"
232,75,76,81,0,"Base"
244,72,91,81,0,"Base"
231,68,87,76,0,"Base"
233,73,81,79,0,"Base"
225,72,74,79,0,"Base"
236,72,87,77,1,"Base"
221,72,73,76,0,"Base"
226,73,76,77,0,"Base"
225,65,79,81,0,"Base"
226,68,81,77,0,"Base"
223,72,75,76,0,"Base"
228,71,76,81,0,"Base"
238,75,84,79,1,"Base"
223,72,75,76,0,"Base"
227,67,79,81,0,"Base"
229,74,76,79,0,"Base"
237,77,79,81,0,"Base"
224,68,75,81,0,"Base"
234,74,81,79,0,"Base"
230,72,79,79,0,"Base"
230,75,74,81,0,"Base"
242,76,87,79,1,"Base"
232,74,77,81,0,"Base"
233,73,84,76,0,"Base"
233,73,84,76,0,"Base"
231,75,79,77,0,"Base"
229,72,76,81,0,"Base"
225,72,77,76,0,"Base"
235,71,87,77,1,"Base"
229,70,84,75,0,"Base"
227,71,77,79,0,"Base"
240,77,79,84,1,"Base"
242,75,91,76,1,"Base"
237,74,84,79,0,"Base"
243,81,87,75,1,"Base"
230,68,81,81,0,"Base"
248,74,95,79,1,"Base"
232,77,76,79,0,"Base"
225,72,77,76,0,"Base"
226,74,76,76,0,"Base"
249,81,87,81,1,"Base"
228,70,81,77,0,"Base"
234,74,79,81,0,"Base"
225,73,75,77,0,"Base"
235,74,84,77,0,"Base"
223,68,74,81,0,"Base"
227,72,74,81,0,"Base"
243,73,95,75,1,"Base"
232,75,76,81,0,"Base"
231,79,76,76,0,"Base"
229,76,79,74,0,"Base"
227,75,73,79,0,"Base"
223,68,76,79,0,"Base"
233,71,81,81,0,"Base"
234,74,81,79,0,"Base"
241,76,84,81,0,"Base"
222,70,75,77,0,"Base"
222,71,74,77,0,"Base"
230,72,74,84,0,"Base"
234,75,75,84,0,"Base"
237,74,84,79,0,"Base"
236,68,84,84,1,"Base"
226,68,79,79,0,"Base"
231,76,76,79,0,"Base"
232,79,79,74,0,"Base"
243,77,87,79,1,"Base"
227,71,75,81,0,"Base"
229,76,77,76,0,"Base"
226,75,75,76,0,"Base"
239,71,91,77,0,"Base"
233,75,77,81,0,"Base"
232,76,77,79,0,"Base"
247,77,91,79,1,"Base"
234,76,81,77,0,"Base"
229,73,75,81,0,"Base"
223,70,74,79,0,"Base"
241,72,95,74,0,"Base"
231,75,77,79,0,"Base"
223,74,75,74,0,"Base"
230,74,77,79,0,"Base"
226,70,75,81,0,"Base"
246,81,84,81,1,"Base"
227,73,77,77,0,"Base"
244,74,79,91,1,"Base"
225,74,74,77,0,"Base"
226,68,74,84,0,"Base"
228,75,74,79,0,"Base"
224,75,74,75,0,"Base"
238,74,87,77,0,"Base"
226,73,76,77,0,"Base"
229,76,74,79,0,"Base"
229,73,79,77,0,"Base"
227,76,76,75,0,"Base"
255,68,100,87,1,"Base"
234,75,75,84,0,"Base"
232,75,81,76,0,"Base"
227,72,76,79,0,"Base"
238,75,87,76,0,"Base"
228,75,79,74,0,"Base"
