"nz_points_total","nz_points_mixed","nz_points_opens","nz_points_womens","nz_qualify","scenario"
232,77,81,74,0,"Stacked Mixed"
250,84,87,79,1,"Stacked Mixed"
222,70,76,76,0,"Stacked Mixed"
224,72,75,77,0,"Stacked Mixed"
228,73,76,79,0,"Stacked Mixed"
229,77,75,77,0,"Stacked Mixed"
231,75,79,77,0,"Stacked Mixed"
228,77,76,75,0,"Stacked Mixed"
227,75,75,77,0,"Stacked Mixed"
222,75,72,75,0,"Stacked Mixed"
234,74,79,81,0,"Stacked Mixed"
229,76,74,79,0,"Stacked Mixed"
228,72,81,75,0,"Stacked Mixed"
234,81,74,79,1,"Stacked Mixed"
250,87,84,79,1,"Stacked Mixed"
246,84,81,81,1,"Stacked Mixed"
225,72,76,77,0,"Stacked Mixed"
243,72,87,84,1,"Stacked Mixed"
243,84,75,84,1,"Stacked Mixed"
231,77,77,77,0,"Stacked Mixed"
235,76,75,84,0,"Stacked Mixed"
227,75,75,77,0,"Stacked Mixed"
227,76,75,76,0,"Stacked Mixed"
234,79,76,79,0,"Stacked Mixed"
228,74,75,79,0,"Stacked Mixed"
239,84,74,81,1,"Stacked Mixed"
229,74,76,79,0,"Stacked Mixed"
238,81,81,76,0,"Stacked Mixed"
238,74,91,73,1,"Stacked Mixed"
233,75,81,77,0,"Stacked Mixed"
239,79,81,79,1,"Stacked Mixed"
229,75,73,81,0,"Stacked Mixed"
232,79,77,76,0,"Stacked Mixed"
239,77,81,81,1,"Stacked Mixed"
230,76,77,77,0,"Stacked Mixed"
232,81,75,76,0,"Stacked Mixed"
227,76,72,79,0,"Stacked Mixed"
227,76,75,76,0,"Stacked Mixed"
231,76,74,81,0,"Stacked Mixed"
230,75,79,76,0,"Stacked Mixed"
247,87,81,79,1,"Stacked Mixed"
225,72,74,79,0,"Stacked Mixed"
229,76,77,76,0,"Stacked Mixed"
238,74,87,77,0,"Stacked Mixed"
239,87,75,77,1,"Stacked Mixed"
228,77,75,76,0,"Stacked Mixed"
228,74,75,79,0,"Stacked Mixed"
230,77,77,76,0,"Stacked Mixed"
234,76,81,77,0,"Stacked Mixed"
230,74,75,81,0,"Stacked Mixed"
242,76,91,75,0,"Stacked Mixed"
223,72,72,79,0,"Stacked Mixed"
246,79,91,76,1,"Stacked Mixed"
226,74,75,77,0,"Stacked Mixed"
234,81,76,77,0,"Stacked Mixed"
232,77,76,79,0,"Stacked Mixed"
228,72,79,77,0,"Stacked Mixed"
229,74,79,76,0,"Stacked Mixed"
227,76,76,75,0,"Stacked Mixed"
234,77,76,81,0,"Stacked Mixed"
226,74,73,79,0,"Stacked Mixed"
244,84,76,84,1,"Stacked Mixed"
224,71,77,76,0,"Stacked Mixed"
237,79,81,77,0,"Stacked Mixed"
235,77,79,79,0,"Stacked Mixed"
230,79,76,75,0,"Stacked Mixed"
238,75,79,84,1,"Stacked Mixed"
226,73,74,79,0,"Stacked Mixed"
232,81,77,74,0,"Stacked Mixed"
243,75,87,81,1,"Stacked Mixed"
229,73,77,79,0,"Stacked Mixed"
231,79,76,76,0,"Stacked Mixed"
