"nz_points_total","nz_points_mixed","nz_points_opens","nz_points_womens","nz_qualify","scenario"
229,69,81,79,0,"Superstacked Opens/Womens"
250,68,95,87,1,"Superstacked Opens/Womens"
236,68,84,84,0,"Superstacked Opens/Womens"
247,75,91,81,1,"Superstacked Opens/Womens"
228,68,76,84,0,"Superstacked Opens/Womens"
235,67,87,81,0,"Superstacked Opens/Womens"
231,73,79,79,0,"Superstacked Opens/Womens"
250,68,95,87,1,"Superstacked Opens/Womens"
220,69,75,76,0,"Superstacked Opens/Womens"
241,66,91,84,1,"Superstacked Opens/Womens"
240,68,91,81,0,"Superstacked Opens/Womens"
243,71,91,81,1,"Superstacked Opens/Womens"
238,68,91,79,0,"Superstacked Opens/Womens"
243,72,87,84,1,"Superstacked Opens/Womens"
238,66,91,81,0,"Superstacked Opens/Womens"
226,68,81,77,0,"Superstacked Opens/Womens"
222,67,76,79,0,"Superstacked Opens/Womens"
242,66,95,81,1,"Superstacked Opens/Womens"
236,68,73,95,1,"Superstacked Opens/Womens"
238,70,84,84,1,"Superstacked Opens/Womens"
242,66,95,81,1,"Superstacked Opens/Womens"
253,67,95,91,1,"Superstacked Opens/Womens"
240,65,91,84,1,"Superstacked Opens/Womens"
246,67,95,84,1,"Superstacked Opens/Womens"
245,67,87,91,1,"Superstacked Opens/Womens"
227,71,77,79,0,"Superstacked Opens/Womens"
231,73,77,81,0,"Superstacked Opens/Womens"
235,65,91,79,0,"Superstacked Opens/Womens"
223,65,77,81,0,"Superstacked Opens/Womens"
230,67,76,87,0,"Superstacked Opens/Womens"
243,75,87,81,1,"Superstacked Opens/Womens"
224,69,79,76,0,"Superstacked Opens/Womens"
231,65,87,79,0,"Superstacked Opens/Womens"
236,70,87,79,0,"Superstacked Opens/Womens"
243,68,84,91,1,"Superstacked Opens/Womens"
234,68,79,87,0,"Superstacked Opens/Womens"
237,71,87,79,1,"Superstacked Opens/Womens"
238,70,87,81,1,"Superstacked Opens/Womens"
242,66,95,81,1,"Superstacked Opens/Womens"
244,65,95,84,1,"Superstacked Opens/Womens"
221,66,76,79,0,"Superstacked Opens/Womens"
240,70,91,79,0,"Superstacked Opens/Womens"
263,73,95,95,1,"Superstacked Opens/Womens"
223,68,76,79,0,"Superstacked Opens/Womens"
242,68,95,79,1,"Superstacked Opens/Womens"
235,69,87,79,0,"Superstacked Opens/Womens"
244,68,95,81,1,"Superstacked Opens/Womens"
240,68,91,81,1,"Superstacked Opens/Womens"
