"nz_points_total","nz_points_mixed","nz_points_opens","nz_points_womens","nz_qualify","scenario"
237,87,74,76,0,"Superstacked Mixed"
242,87,79,76,1,"Superstacked Mixed"
233,79,77,77,0,"Superstacked Mixed"
247,91,77,79,1,"Superstacked Mixed"
228,79,74,75,0,"Superstacked Mixed"
227,79,73,75,0,"Superstacked Mixed"
233,84,73,76,0,"Superstacked Mixed"
238,76,87,75,0,"Superstacked Mixed"
233,76,76,81,0,"Superstacked Mixed"
229,77,75,77,0,"Superstacked Mixed"
224,72,75,77,0,"Superstacked Mixed"
230,76,75,79,0,"Superstacked Mixed"
231,77,75,79,0,"Superstacked Mixed"
238,84,75,79,1,"Superstacked Mixed"
230,77,76,77,0,"Superstacked Mixed"
227,79,74,74,0,"Superstacked Mixed"
227,77,75,75,0,"Superstacked Mixed"
234,81,74,79,0,"Superstacked Mixed"
228,76,75,77,0,"Superstacked Mixed"
228,76,73,79,0,"Superstacked Mixed"
230,76,75,79,0,"Superstacked Mixed"
224,76,72,76,0,"Superstacked Mixed"
227,79,75,73,0,"Superstacked Mixed"
248,84,87,77,1,"Superstacked Mixed"
236,81,79,76,0,"Superstacked Mixed"
233,81,76,76,0,"Superstacked Mixed"
234,75,84,75,0,"Superstacked Mixed"
231,77,75,79,0,"Superstacked Mixed"
224,72,75,77,0,"Superstacked Mixed"
233,75,77,81,0,"Superstacked Mixed"
231,77,77,77,0,"Superstacked Mixed"
217,68,76,73,0,"Superstacked Mixed"
230,84,72,74,0,"Superstacked Mixed"
229,76,79,74,0,"Superstacked Mixed"
227,77,74,76,0,"Superstacked Mixed"
225,76,73,76,0,"Superstacked Mixed"
232,79,79,74,0,"Superstacked Mixed"
225,75,76,74,0,"Superstacked Mixed"
243,95,74,74,1,"Superstacked Mixed"
231,79,75,77,0,"Superstacked Mixed"
235,81,79,75,0,"Superstacked Mixed"
231,81,73,77,0,"Superstacked Mixed"
222,74,72,76,0,"Superstacked Mixed"
231,79,75,77,0,"Superstacked Mixed"
240,87,76,77,0,"Superstacked Mixed"
234,87,70,77,0,"Superstacked Mixed"
247,95,75,77,1,"Superstacked Mixed"
227,76,74,77,0,"Superstacked Mixed"
246,95,75,76,1,"Superstacked Mixed"
225,76,74,75,0,"Superstacked Mixed"
228,77,75,76,0,"Superstacked Mixed"
241,87,79,75,1,"Superstacked Mixed"
224,72,75,77,0,"Superstacked Mixed"
229,79,76,74,0,"Superstacked Mixed"
224,76,74,74,0,"Superstacked Mixed"
226,79,74,73,0,"Superstacked Mixed"
232,81,75,76,0,"Superstacked Mixed"
228,75,76,77,0,"Superstacked Mixed"
239,87,75,77,0,"Superstacked Mixed"
233,79,77,77,0,"Superstacked Mixed"
231,79,75,77,0,"Superstacked Mixed"
227,77,75,75,0,"Superstacked Mixed"
227,81,72,74,0,"Superstacked Mixed"
239,87,75,77,0,"Superstacked Mixed"
229,75,79,75,0,"Superstacked Mixed"
226,76,75,75,0,"Superstacked Mixed"
233,81,73,79,0,"Superstacked Mixed"
232,77,74,81,0,"Superstacked Mixed"
236,81,76,79,0,"Superstacked Mixed"
233,81,75,77,0,"Superstacked Mixed"
247,95,76,76,1,"Superstacked Mixed"
225,72,77,76,0,"Superstacked Mixed"
230,79,75,76,0,"Superstacked Mixed"
238,84,79,75,1,"Superstacked Mixed"
232,79,77,76,0,"Superstacked Mixed"
229,79,75,75,0,"Superstacked Mixed"
230,79,75,76,0,"Superstacked Mixed"
253,91,87,75,1,"Superstacked Mixed"
234,81,76,77,0,"Superstacked Mixed"
229,81,73,75,0,"Superstacked Mixed"
237,81,75,81,0,"Superstacked Mixed"
234,79,76,79,0,"Superstacked Mixed"
227,75,73,79,0,"Superstacked Mixed"
224,76,74,74,0,"Superstacked Mixed"
236,84,73,79,0,"Superstacked Mixed"
239,81,84,74,0,"Superstacked Mixed"
231,77,79,75,0,"Superstacked Mixed"
234,84,74,76,0,"Superstacked Mixed"
223,74,73,76,0,"Superstacked Mixed"
238,84,79,75,0,"Superstacked Mixed"
229,74,81,74,0,"Superstacked Mixed"
241,81,79,81,1,"Superstacked Mixed"
241,81,81,79,1,"Superstacked Mixed"
236,75,87,74,1,"Superstacked Mixed"
233,79,77,77,0,"Superstacked Mixed"
245,87,74,84,1,"Superstacked Mixed"
238,87,77,74,1,"Superstacked Mixed"
238,84,79,75,1,"Superstacked Mixed"
233,75,81,77,0,"Superstacked Mixed"
233,81,77,75,0,"Superstacked Mixed"
229,81,74,74,0,"Superstacked Mixed"
243,87,77,79,0,"Superstacked Mixed"
225,74,75,76,0,"Superstacked Mixed"
225,72,74,79,0,"Superstacked Mixed"
232,81,74,77,0,"Superstacked Mixed"
230,81,72,77,0,"Superstacked Mixed"
244,95,73,76,1,"Superstacked Mixed"
